"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"AE2","1","Antenna","","","","",""
"BT2","1","Maxell ML2032","","","","Battery:BatteryHolder_MYOUNG_BS-07-A1BJ001_CR2032",""
"C1,C4,C7,C8,C9,C12,C16,C17,C18,C19,C20,C21,C22,C23,C24","15","100nF","","","","Capacitor_SMD:C_0805_2012Metric","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/609/CL05B104KO5NNNC.pdf"
"C2,C3","2","2.2uF","","","","SCK_Footprints:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1105/CL21B105KAFNNNE_Spec.pdf"
"C5,C6","2","C","","","","",""
"C10","1","1uF","","","","SCK_Footprints:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1105/CL21B105KAFNNNE_Spec.pdf"
"C11","1","22pF","","","","Capacitor_SMD:C_01005_0402Metric","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2516/GRM%20Series%20Data.pdf"
"C13","1","47uF","","","","Antyradar_footprints:CAPC6153X670N","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1105/CL21B105KAFNNNE_Spec.pdf"
"C14","1","1nF","","","","Capacitor_SMD:C_0201_0603Metric","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2516/GRM%20Series%20Data.pdf"
"C15","1","240pF","","","","Capacitor_SMD:C_01005_0402Metric","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2516/GRM%20Series%20Data.pdf"
"D2","1","PESD1CAN-UX","","","","Antyradar_footprints:PESD1CANUX","https://assets.nexperia.com/documents/data-sheet/PESD1CAN-U.pdf"
"D3","1","0.5mA/40V/510mV (max)","","","","Diode_SMD:D_SOD-123","https://www.onsemi.cn/pdf/datasheet/mbr0540-d.pdf"
"GNSS_module1","1","NEO-M9N","","","","RF_GPS:ublox_NEO","https://www.u-blox.com/sites/default/files/NEO-M9N-00B_DataSheet_UBX-19014285.pdf"
"GREEN1","1","LED_Green","","","","LED_SMD:LED_01005_0402Metric","https://www.vishay.com/docs/82554/vlmo1500.pdf"
"IC1","1","SN65HVD233QDRQ1","","","","Antyradar_footprints:SOIC127P600X175-8N","http://www.ti.com/lit/gpn/sn65hvd233-q1"
"J2","1","Barrel_Jack_Switch","","","","Connector_BarrelJack:BarrelJack_CUI_PJ-036AH-SMT_Horizontal","https://www.sameskydevices.com/product/resource/pj-036ah-smt-tr.pdf"
"J4","1","Conn_Coaxial","","","","Connector_Coaxial:SMA_Molex_73251-1153_EdgeMount_Horizontal","https://tools.molex.com/pdm_docs/sd/732511150_sd.pdf"
"J5","1","Screw_Terminal_01x02","","","","Antyradar_footprints:CUI_TB002-500-02BE","https://www.sameskydevices.com/product/resource/tb002-500.pdf"
"JP1","1","Jumper_2_Bridged","","","","Jumper:SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm",""
"L1","1","47uH","","","","Antyradar_footprints:NRS8040T470MJGK","https://ds.yuden.co.jp/TYCOMPAS/ap/specSheet?pn=LSXNH8080YKL470MJG"
"L2","1","L","","","","",""
"L3","1","27nH","","","","Inductor_SMD:L_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/P02/JELF243B-0009.pdf"
"MCU1","1","KW47B42ZB7AFTB","","","","Antyradar_footprints:QFN50P700X700X90-49N-D","https://www.nxp.com/docs/en/data-sheet/KW47DS.pdf"
"OBD-II_CONNECTOR1","1","L717SDE09PA4CH4F","","","","Antyradar_footprints:L717SDE09PA4CH4F","https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/l717sdxxxpa4ch4f.pdf"
"R1","1","330Ω","","","","Resistor_SMD:R_0805_2012Metric","https://yageogroup.com/content/Resource%20Library/Datasheet/PYU-SR_20105_ROHS_L.pdf"
"R2,R3,R4","3","10kΩ","","","","Resistor_SMD:R_0805_2012Metric","https://yageogroup.com/content/Resource%20Library/Datasheet/PYU-SR_20105_ROHS_L.pdf"
"R5","1","1kΩ","","","","Resistor_SMD:R_0805_2012Metric","https://yageogroup.com/content/Resource%20Library/Datasheet/PYU-SR_20105_ROHS_L.pdf"
"R6","1","10Ω","","","","Resistor_SMD:R_0805_2012Metric","https://yageogroup.com/content/Resource%20Library/Datasheet/PYU-SR_20105_ROHS_L.pdf"
"R7","1","27.4kΩ","","","","Resistor_SMD:R_0805_2012Metric","https://yageogroup.com/content/Resource%20Library/Datasheet/PYU-SR_20105_ROHS_L.pdf"
"R8,R10","2","56kΩ","","","","Resistor_SMD:R_0805_2012Metric","https://yageogroup.com/content/Resource%20Library/Datasheet/PYU-SR_20105_ROHS_L.pdf"
"R9","1","100kΩ","","","","Resistor_SMD:R_0805_2012Metric","https://yageogroup.com/content/Resource%20Library/Datasheet/PYU-SR_20105_ROHS_L.pdf"
